חותמת זמן,מהו גילך?,מגדר?,מה מספר המושבים ברכב הנוכחי?,סוג רישיון של הרכב שלך?,תיבת הילוכים ברכב?,יצרן של הרכב,דגם הרכב,תת דגם הרכב,שנת ייצור של הרכב,סוג מנוע,נפח מנוע,מחירון הרכב,הנעה,קטגורית הרכב,מרכב הרכב,סוג נסיעות שלך?,"האם הרכב משמש אותך לעבודה: ואם כן, לאיזה מטרות משמש?",מספר ילדים?,אזור מגורים?,כל כמה זמן את/ה נוהג/ת להחליף רכב?,מה סיבת ההחלפה בכל פעם?,האם תרצה/י לבחור ברכב חשמלי בעתיד?,מה הפרמטרים החשובים לך בבחירת סוג הרכב?
04/05/2022 10:51:07,17-27,נקבה,5,פרטי,ידני,פולסווגן,פולו,יאנג,2012,בנזין,1.4,"27,000",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,שידרוג רכב,כן,"שירות, מחיר, אמינות, בטיחות"
04/05/2022 10:56:30,28-40,זכר,5,פרטי,אוטומט,הונדה,סיוויק,Comfort,2008,בנזין,1.8,"21,500",4X2,משפחתי,סדאן,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,אמינות
04/05/2022 11:03:12,28-40,נקבה,5,פרטי,אוטומט,יונדאי,I20,Inspire,2012,בנזין,1.4,"22,300",4X2,מיני,האצ'בק,עירוני,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"מחיר, גודל(קטן)"
04/05/2022 11:06:48,28-40,זכר,5,פרטי,ידני,פולקסווגן,פולו,Trendline,2008,בנזין,1.4,"13,000",4X2,מיני,האצ'בק,משולב,לא,1,צפון,בין 3-5,אחר,כן,אמינות
04/05/2022 11:09:02,17-27,נקבה,5,פרטי,אוטומט,סוזוקי,סלריו,GLX,2017,בנזין,1,"36,800",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:12:11,17-27,נקבה,5,פרטי,אוטומט,סוזוקי,ספלאש,GLS,2013,בנזין,1.2,"26,000",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,שידרוג רכב,לא,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:14:05,17-27,נקבה,5,פרטי,אוטומט,קיה,פיקנטו,LX,2017,בנזין,1.2,"48,200",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,אחר,כן,"אמינות, בטיחות, גודל(קטן)"
04/05/2022 11:16:15,17-27,זכר,2,פרטי,ידני,סובארו,BRZ,קופה,2015,בנזין,2,"79,000",4X2,ספורט,קופה,משולב,לא,אין,צפון,בין 1-2 שנים,שידרוג רכב,לא,"שירות, אמינות"
04/05/2022 11:18:04,17-27,נקבה,5,פרטי,אוטומט,ניסאן,מיקרה,Visia,2012,בנזין,1.2,"23,500",4X2,מיני,האצ'בק,עירוני,לא,אין,צפון,מעל 5 שנים,אחר,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:20:30,28-40,זכר,5,פרטי,אוטומט,הונדה,סיוויק האצ'בק החדשה,	Comfort,2018,בנזין,1.8,"50,000",4X2,משפחתי,האצ'בק,עירוני,לא,אין,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות, בטיחות"
04/05/2022 11:25:42,60+,זכר,5,פרטי,ידני,דאצ'יה,סנדרו Stepway,Laureate,2020,דיזל,1.5,"62,600",4X2,משפחתי,האצ'בק,בין-עירוני,העברת ציוד,2,דרום,מעל 5 שנים,שידרוג רכב,כן,"מחיר, אמינות"
04/05/2022 11:28:23,17-27,נקבה,5,פרטי,אוטומט,מאזדה,3,Comfort,2014,בנזין,1.5,"52,400",4X2,משפחתי,סדאן,משולב,לא,אין,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 11:30:18,17-27,זכר,5,פרטי,אוטומט,מאזדה,2,Active,2014,בנזין,1.5,"32,000",4X2,מיני,האצ'בק,משולב,לא,1,מחוז ירושלים,מעל 5 שנים,שידרוג רכב,כן,"שירות, מחיר, אמינות, גודל(קטן)"
04/05/2022 11:33:08,28-40,זכר,5,פרטי,אוטומט,מאזדה,3,Premium,2017,בנזין,2,"84,600",4X2,משפחתי,האצ'בק,עירוני,לא,2,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 11:55:18,40-60,נקבה,7,פרטי,אוטומט,שברולט,טראוורס,LTZ,2018,בנזין,3.6,"155,300",4X4,ג'יפ,פנאי שטח,משולב,לא,3,שפלה ומישור החוף הדרומי,בין 3-5,שידרוג רכב,כן,"שירות, בטיחות, גודל(גדול)"
04/05/2022 12:01:54,28-40,זכר,5,פרטי,אוטומט,רנו,מגאן גראנד קופה,Intense,2017,דיזל,1.5,"68,900",4X2,משפחתי,סדאן,משולב,,2,שפלה ומישור החוף הדרומי,בין 3-5,שידרוג רכב,כן,"אמינות, גודל(גדול)"
04/05/2022 12:05:36,28-40,נקבה,5,פרטי,אוטומט,אופל,אסטרה,Enjoy Plus,2017,בנזין,1.4,"51,000",4X2,משפחתי,האצ'בק,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:07:45,17-27,זכר,5,פרטי,אוטומט,הונדה,ג'אז,Trend,2019,בנזין,1.3,"68,000",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:10:33,28-40,זכר,5,פרטי,אוטומט,שברולט,ספארק,Premier,2020,בנזין,1.4,"63,100",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,גודל(קטן)
04/05/2022 12:12:47,60+,זכר,5,פרטי,אוטומט,יונדאי,איוניק,Premium,2017,בנזין,1.6,"73,700",4X2,משפחתי,האצ'בק,משולב,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות"
04/05/2022 12:23:45,28-40,נקבה,5,פרטי,אוטומט,הונדה,סיוויק האצ'בק החדשה,Sport,2009,בנזין,1.8,"25,000",4X2,משפחתי,האצ'בק,עירוני,לא,2,צפון,בין 1-2 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:28:02,60+,נקבה,5,פרטי,אוטומט,רנו,קדגא'ר,Intense,2016,דיזל,1.5,"55,000",4X2,ג'יפ,פנאי שטח,בין-עירוני,לא,3,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות"
04/05/2022 12:31:05,40-60,זכר,7,פרטי,אוטומט,טויוטה,פריוס פלוס הייבריד,Regular,2021,בנזין,1.8,"135,300",4X2,משפחתי,סטיישן,משולב,לא,5,שפלה ומישור החוף הדרומי,בין 3-5,אי שביעות רצון מהרכב הקודם,לא,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 12:47:44,28-40,זכר,5,פרטי,אוטומט,דייהטסו,טריוס,SX,2008,בנזין,1.5,"18,300",4X4,ג'יפ,האצ'בק,משולב,לא,1,דרום,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 12:50:17,28-40,נקבה,5,פרטי,אוטומט,יונדאי,טוסון,Arizona,2008,בנזין,2.7,"20,500",4X4,ג'יפ,פנאי שטח,עירוני,לא,1,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 12:53:11,40-60,זכר,5,פרטי,אוטומט,קיה,ריו,LX,2015,בנזין,1.4,"35,000",4X2,משפחתי,האצ'בק,עירוני,לא,2,מרכז,בין 3-5,שידרוג רכב,כן,"שירות, מחיר"
04/05/2022 12:55:37,40-60,זכר,7,פרטי,אוטומט,מיצובישי,אאוטלנדר,Intense,2018,בנזין,2,"100,000",4X2,ג'יפ,פנאי שטח,עירוני,לא,4,מרכז,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 12:57:34,28-40,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Elegance,2012,בנזין,1.8,"26,600",4X2,משפחתי,סדאן,עירוני,לא,2,מחוז ירושלים,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:00:07,40-60,נקבה,5,פרטי,אוטומט,פורד,פוקוס,Trend,2012,בנזין,1.6,"14,800",4X2,משפחתי,סטיישן,בין-עירוני,לא,2,יהודה ושומרון ובקעת הירדן,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"מחיר, גודל(גדול)"
04/05/2022 13:02:44,60+,זכר,5,פרטי,אוטומט,סוזוקי,איגניס,GLX,2018,בנזין,1.2,"58,200",4X2,משפחתי,האצ'בק,עירוני,לא,3,שרון,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 13:04:29,28-40,זכר,5,פרטי,אוטומט,פולקסווגן,גולף,Enjoy,2014,בנזין,1.2,"44,700",4X2,משפחתי,האצ'בק,עירוני,לא,אין,מחוז ירושלים,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 13:06:05,40-60,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Elegance,2013,בנזין,1.8,"30,400",4X2,משפחתי,סדאן,עירוני,לא,3,מחוז ירושלים,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:07:31,28-40,זכר,5,פרטי,אוטומט,סקודה,סופרב,Ambition,2011,בנזין,1.8,"28,800",4X2,משפחתי,סדאן,בין-עירוני,לא,3,דרום,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:09:25,40-60,נקבה,5,פרטי,אוטומט,יונדאי,איוניק,Premium,2017,היברידי,1.6,"73,700",4X2,משפחתי,האצ'בק,בין-עירוני,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 13:11:12,17-27,נקבה,5,פרטי,אוטומט,מאזדה,3,Active,2012,בנזין,1.6,"25,800",4X2,משפחתי,סדאן,משולב,לא,אין,דרום,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות, בטיחות"
04/05/2022 13:12:39,40-60,זכר,5,פרטי,אוטומט,טויוטה,קורולה,Sun,2017,בנזין,1.6,"68,500",4X2,משפחתי,סדאן,בין-עירוני,לא,3,דרום,בין 3-5,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:14:05,28-40,זכר,5,פרטי,ידני,טויוטה,קורולה,GLI,2013,בנזין,1.6,"35,400",4X2,משפחתי,סדאן,בין-עירוני,לא,1,דרום,בין 1-2 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 13:15:41,40-60,זכר,5,פרטי,אוטומט,פיג'ו,3008,Active AS,2020,בנזין,1.6,"109,600",4X2,ג'יפ,פנאי שטח,משולב,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:17:21,40-60,זכר,5,פרטי,אוטומט,יונדאי,i25,Inspire,2014,בנזין,1.4,"31,200",4X2,משפחתי,סדאן,עירוני,לא,2,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 13:19:15,17-27,זכר,5,פרטי,אוטומט,סיאט,לאון,Style FL,2017,בנזין,1.4,"82,500",4X2,משפחתי,האצ'בק,עירוני,לא,אין,מרכז,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 13:20:39,17-27,נקבה,5,פרטי,אוטומט,קיה,פיקנטו,EX,2018,בנזין,1.2,"51,000",4X2,מיני,האצ'בק,עירוני,לא,אין,מרכז,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, גודל(קטן)"
04/05/2022 13:23:48,17-27,זכר,5,פרטי,ידני,סיאט,איביזה,FR,2016,בנזין,1,"52,100",4X2,מיני,האצ'בק,עירוני,לא,אין,מרכז,בין 3-5,שידרוג רכב,כן,"מחיר, אמינות, בטיחות"
04/05/2022 13:25:38,28-40,נקבה,4,פרטי,אוטומט,פיאט,500,Lounge,2016,בנזין,1.2,"36,600",4X2,מיני,האצ'בק,עירוני,לא,אין,שרון,מעל 5 שנים,שידרוג רכב,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 13:28:30,40-60,נקבה,5,פרטי,אוטומט,קיה,נירו הייבריד,EX,2018,בנזין,1.6,"87,700",4X2,ג'יפ,פנאי שטח,משולב,לא,3,שרון,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:29:53,17-27,נקבה,5,פרטי,אוטומט,סקודה,פאביה,Style,2015,בנזין,1.2,"55,200",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,יהודה ושומרון ובקעת הירדן,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 13:32:29,40-60,נקבה,5,פרטי,אוטומט,הונדה,CR-V,Comfort,2014,בנזין,2,"62,800",4X4,ג'יפ,פנאי שטח,משולב,לא,4,יהודה ושומרון ובקעת הירדן,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:35:38,40-60,זכר,7,פרטי,אוטומט,סקודה , קודיאק,Exclusive,2019,דיזל,2,"141,500",4X4,ג'יפ,פנאי שטח,משולב,לא,5,"חדרה, זכרון העמקים",מעל 5 שנים,הרחבת המשפחה,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:37:21,40-60,נקבה,5,פרטי,אוטומט,מאזדה,CX-30,Executive,2021,בנזין,2,"133,500",4X2,ג'יפ,פנאי שטח,עירוני,לא,3,"חדרה, זכרון העמקים",מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:38:46,17-27,נקבה,5,פרטי,אוטומט,קיה,פיקנטו,GT Line,2018,בנזין,1.2,"52,800",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,שרון,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, גודל(קטן)"
04/05/2022 13:40:08,40-60,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Special Edition,2017,בנזין,1.8,"79,300",4X2,משפחתי,סדאן,משולב,לא,3,שרון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:41:35,28-40,זכר,5,פרטי,אוטומט,קיה,פורטה,LX,2011,בנזין,1.6,"21,000",4X2,משפחתי,סדאן,עירוני,לא,1,מרכז,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, גודל(גדול)"
04/05/2022 13:43:06,28-40,נקבה,5,פרטי,אוטומט,יונדאי,i30,Inspire,2011,בנזין,1.6,"21,200",4X2,משפחתי,האצ'בק,עירוני,לא,2,מרכז,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 13:44:54,17-27,נקבה,5,פרטי,אוטומט,סיאט,איביזה,Style,2017,בנזין,1,"56,000",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 13:45:52,17-27,נקבה,5,פרטי,ידני,סיאט,איביזה,Reference,2012,בנזין,1.4,"20,200",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"שירות, מחיר, אמינות, בטיחות"
04/05/2022 13:47:23,17-27,זכר,5,פרטי,ידני,שברולט,ספארק,LS,2011,בנזין,1.2,"12,400",4X2,מיני,האצ'בק,עירוני,לא,אין,מחוז ירושלים,בין 3-5,אחר,כן,"שירות, מחיר, אמינות, גודל(קטן)"
04/05/2022 13:49:19,40-60,נקבה,5,פרטי,אוטומט,פיג'ו,3008,Premium,2019,בנזין,1.2,"113,900",4X2,ג'יפ,פנאי שטח,עירוני,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:51:30,28-40,זכר,5,פרטי,אוטומט,ניסאן,קשקאי,Visia,2016,בנזין,1.2,"60,700",4X2,ג'יפ,פנאי שטח,משולב,לא,3,דרום,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:53:41,28-40,נקבה,5,פרטי,אוטומט,מיצובישי,אאוטלנדר,Instyle,2013,בנזין,2,"48,100",4X2,ג'יפ,פנאי שטח,משולב,לא,2,דרום,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:55:45,40-60,זכר,5,פרטי,אוטומט,פולקסווגן ,ג'טה,Trendline,2015,בנזין,1.2,"41,100",4X2,משפחתי,סדאן,עירוני,לא,2,דרום,מעל 5 שנים,מצב כלכלי,כן,"מחיר, אמינות, בטיחות, גודל(גדול)"
04/05/2022 13:57:30,40-60,נקבה,5,פרטי,אוטומט,קיה,ספורטז',Premium GT,2017,בנזין,1.6,"97,700",4X4,ג'יפ,פנאי שטח,עירוני,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:01:16,40-60,זכר,5,פרטי,אוטומט,יונדאי,איוניק,Premium,2019,בנזין,1.6,"88,500",4X2,משפחתי,האצ'בק,בין-עירוני,לא,3,צפון,בין 3-5,אחר,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:02:47,28-40,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Ambition,2015,בנזין,1.2,"45,300",4X2,משפחתי,סדאן,משולב,לא,אין,צפון,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:04:54,28-40,זכר,5,פרטי,אוטומט,טויוטה,קורולה הייבריד,Sense,2019,בנזין,1.8,"102,200",4X2,משפחתי,סדאן,בין-עירוני,לא,2,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:06:38,28-40,נקבה,5,פרטי,אוטומט,קיה,נירו הייבריד,EX,2018,בנזין,1.6,"87,700",4X2,ג'יפ,פנאי שטח,עירוני,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:08:24,17-27,זכר,4,פרטי,אוטומט,פולקסווגן,שירוקו,Sport ES1,2012,בנזין,1.4,"49,900",4X2,ספורט,האצ'בק,משולב,לא,אין,מרכז,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:10:36,40-60,נקבה,5,פרטי,אוטומט,רנו,קדגא'ר,Life,2017,דיזל,1.5,"59,200",4X2,ג'יפ,פנאי שטח,משולב,לא,2,שפלה ומישור החוף הדרומי,מעל 5 שנים,שידרוג רכב,כן,"שירות, מחיר, אמינות"
04/05/2022 14:12:46,40-60,נקבה,5,פרטי,אוטומט,טויוטה,יאריס הייבריד,Style,2016,בנזין,1.5,"57,800",4X2,מיני,האצ'בק,עירוני,לא,2,צפון,מעל 5 שנים,שידרוג רכב,,"שירות, אמינות, גודל(קטן)"
04/05/2022 14:14:09,40-60,זכר,5,פרטי,אוטומט,יונדאי,i25,Inspire,2014,בנזין,1.4,"31,200",4X2,משפחתי,סדאן,עירוני,לא,2,דרום,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 14:16:02,40-60,זכר,5,פרטי,אוטומט,ניסאן,קשקאי,Acenta Tech,2020,בנזין,1.3,"107,200",4X2,ג'יפ,פנאי שטח,משולב,לא,2,שרון,בין 3-5,שידרוג רכב,כן,"שירות, בטיחות, גודל(גדול)"
04/05/2022 14:17:40,28-40,זכר,5,פרטי,אוטומט,הונדה,סיוויק סדאן החדשה,Comfort,2012,בנזין,1.8,"32,500",4X2,משפחתי,סדאן,עירוני,לא,1,מחוז ירושלים,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:19:18,28-40,זכר,5,פרטי,,סקודה,אוקטביה,Ambition,2015,בנזין,1.2,"45,300",4X2,משפחתי,סדאן,משולב,לא,2,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:20:58,28-40,נקבה,5,פרטי,אוטומט,מאזדה,3,Premium,2017,בנזין,2,"84,800",4X2,משפחתי,סדאן,משולב,לא,3,צפון,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
