חותמת זמן,מהו גילך?,מגדר?,מה מספר המושבים ברכב הנוכחי?,סוג רישיון של הרכב שלך?,תיבת הילוכים ברכב?,יצרן של הרכב,דגם הרכב,תת דגם הרכב,שנת ייצור של הרכב,סוג מנוע,נפח מנוע,מחירון הרכב,הנעה,קטגורית הרכב,מרכב הרכב,סוג נסיעות שלך?,"האם הרכב משמש אותך לעבודה: ואם כן, לאיזה מטרות משמש?",מספר ילדים?,אזור מגורים?,כל כמה זמן את/ה נוהג/ת להחליף רכב?,מה סיבת ההחלפה בכל פעם?,האם תרצה/י לבחור ברכב חשמלי בעתיד?,מה הפרמטרים החשובים לך בבחירת סוג הרכב?
04/05/2022 14:22:53,28-40,נקבה,5,פרטי,אוטומט,קיה,ספורטז',Urban,2017,בנזין,1.6,"80,000",4X2,ג'יפ,פנאי שטח,עירוני,לא,3,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:24:44,28-40,נקבה,5,פרטי,אוטומט,ניסאן,קשקאי,Visia,2016,בנזין,1.2,"60,700",4X2,ג'יפ,פנאי שטח,עירוני,לא,3,"חדרה, זכרון העמקים",מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:26:17,28-40,זכר,5,פרטי,אוטומט,מאזדה,3,Sport,2018,בנזין,2,"86,100",4X2,משפחתי,האצ'בק,משולב,לא,1,"חדרה, זכרון העמקים",בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:28:04,17-27,נקבה,5,פרטי,אוטומט,יונדאי,i20,Inspire,2011,בנזין,1.4,"24,500",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,"חדרה, זכרון העמקים",בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 14:29:52,60+,זכר,5,פרטי,אוטומט,יודנאי,איוניק,Premium,2019,בנזין,1.6,"88,500",4X2,משפחתי,האצ'בק,משולב,לא,2,שפלה ומישור החוף הדרומי,מעל 5 שנים,אחר,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:31:26,40-60,זכר,5,פרטי,אוטומט,מאזדה,3,Comfort,2017,בנזין,2,"77,400",4X2,משפחתי,האצ'בק,משולב,לא,2,מחוז ירושלים,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:33:38,17-27,זכר,5,פרטי,אוטומט,סיאט,לאון,FR Plus,2018,בנזין,1.8,"128,000",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,מחוז ירושלים,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות"
04/05/2022 14:35:18,17-27,זכר,5,פרטי,אוטומט,פולקסווגן,גולף,Enjoy,2015,בנזין,1.2,"50,900",4X2,משפחתי,האצ'בק,משולב,לא,1,מחוז ירושלים,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:36:58,28-40,נקבה,5,פרטי,אוטומט,סקודה,ראפיד,Ambition,2017,בנזין,1.2,"45,700",4X2,משפחתי,סדאן,עירוני,לא,2,דרום,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:38:32,28-40,נקבה,5,פרטי,אוטומט,הונדה,סיוויק האצ'בק החדשה,Comfort,2012,בנזין,1.8,"38,200",4X2,משפחתי,האצ'בק,עירוני,לא,2,דרום,בין 3-5,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:40:25,40-60,זכר,7,פרטי,אוטומט,סקודה,קודיאק,Ambition,2019,דיזל,2,"120,300",4X4,ג'יפ,פנאי שטח,משולב,לא,4,צפון,בין 3-5,הרחבת המשפחה,כן,"מחיר, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:43:13,28-40,זכר,5,פרטי,אוטומט,מאזדה,3,Active,2013,בנזין,1.5,"43,400",4X2,משפחתי,סדאן,משולב,לא,3,דרום,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 14:44:16,17-27,זכר,5,פרטי,אוטומט,פולקסווגן,גולף,GTI,2015,בנזין,2,"75,500",4X2,ספורט,האצ'בק,עירוני,לא,אין,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:46:11,40-60,נקבה,7,פרטי,אוטומט,ניסאן,אקס טרייל,Tekna,2017,דיזל,1.6,"105,500",4X2,ג'יפ,פנאי שטח,עירוני,לא,5,צפון,בין 3-5,הרחבת המשפחה,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:49:07,40-60,זכר,7,פרטי,אוטומט,סקודה,קודיאק,Exclusive,2018,בנזין,2,"127,400",4X4,ג'יפ,פנאי שטח,משולב,לא,4,צפון,בין 3-5,הרחבת המשפחה,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:50:47,40-60,זכר,5,פרטי,אוטומט,טויוטה,אוריס הייבריד,TS Sky,2015,בנזין,1.8,"57,200",4X2,משפחתי,סטיישן,בין-עירוני,לא,3,יהודה ושומרון ובקעת הירדן,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:52:45,40-60,נקבה,5,פרטי,אוטומט,מאזדה,CX-3,Sport,2018,בנזין,2,"80,000",4X2,קרוסאובר,פנאי שטח,בין-עירוני,לא,2,יהודה ושומרון ובקעת הירדן,מעל 5 שנים,שידרוג רכב,,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:54:37,28-40,נקבה,5,פרטי,אוטומט,ניסאן,ניסאן,Acenta,2015,בנזין,1.6,"49,000",4X2,ג'יפ,האצ'בק,עירוני,לא,3,יהודה ושומרון ובקעת הירדן,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 14:56:03,40-60,נקבה,5,פרטי,אוטומט,טויוטה,קורולה,Sun,2017,בנזין,1.6,"68,500",4X2,משפחתי,סדאן,בין-עירוני,לא,2,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 14:58:19,28-40,זכר,5,פרטי,אוטומט,פורד,פוקוס,Trend,2006,בנזין,1.6,"8,000",4X2,משפחתי,סדאן,עירוני,לא,1,דרום,בין 3-5,מצב כלכלי,כן,"מחיר, אמינות"
04/05/2022 14:59:55,40-60,נקבה,5,פרטי,אוטומט,יונדאי,i10,Prime ,2021,בנזין,1.2,"69,200",4X2,מיני,האצ'בק,משולב,לא,2,צפון,בין 3-5,שידרוג רכב,כן,"אמינות, גודל(קטן)"
04/05/2022 15:01:37,28-40,נקבה,5,פרטי,אוטומט,סוזוקי,SX4 קרוסאובר,GLX,2015,בנזין,1.6,"57,200",4X2,קרוסאובר,האצ'בק,עירוני,לא,2,צפון,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 15:03:11,17-27,נקבה,5,פרטי,אוטומט,יונדאי,i30CW,Inspire,2010,בנזין,1.6,"17,200",4X2,משפחתי,סטיישן,עירוני,לא,2,דרום,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 15:06:50,28-40,זכר,5,פרטי,ידני,דאצ'יה,דאסטר,Prestige,2015,בנזין,1.2,"30,600",4X2,קרוסאובר,פנאי שטח,בין-עירוני,העברת ציוד,2,דרום,בין 3-5,אחר,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 15:08:02,17-27,נקבה,5,פרטי,ידני,סיאט,איביזה,Reference,2012,בנזין,1.4,"20,200",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,צפון,מעל 5 שנים,אחר,כן,"מחיר, אמינות, בטיחות"
04/05/2022 15:09:32,17-27,נקבה,5,פרטי,אוטומט,סקודה,פאביה,Ambition,2013,בנזין,1.2,"29,100",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,"חדרה, זכרון העמקים",בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות, בטיחות"
04/05/2022 15:10:58,17-27,נקבה,5,פרטי,אוטומט,טויוטה,קורולה,Sun,2006,בנזין,1.6,"13,700",4X2,משפחתי,סדאן,משולב,לא,אין,יהודה ושומרון ובקעת הירדן,בין 1-2 שנים,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות"
04/05/2022 15:12:28,17-27,נקבה,5,פרטי,אוטומט,דייהטסו,סיריון,CX,2007,בנזין,1.3,"11,700",4X2,מיני,האצ'בק,עירוני,לא,אין,צפון,מעל 5 שנים,מצב כלכלי,כן,"שירות, מחיר, אמינות"
04/05/2022 15:13:54,28-40,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Ambiente,2011,בנזין,1.2,"23,300",4X2,משפחתי,סדאן,בין-עירוני,לא,2,דרום,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 15:15:20,28-40,זכר,5,פרטי,אוטומט,פולקסווגן,פאסאט,Comfortline,2012,בנזין,1.8,"32,900",4X2,משפחתי,סדאן,בין-עירוני,לא,3,צפון,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 15:17:17,40-60,נקבה,7,פרטי,אוטומט,יונדאי,סנטה פה,Premium,2017,בנזין,2.4,"126,900",4X4,ג'יפ,פנאי שטח,עירוני,לא,5,צפון,מעל 5 שנים,הרחבת המשפחה,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 15:18:34,40-60,זכר,5,פרטי,אוטומט,הונדה,סיוויק סדאן החדשה,Comfort,2015,בנזין,1.8,"55,300",4X2,משפחתי,סדאן,משולב,לא,2,צפון,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 15:19:55,28-40,נקבה,5,פרטי,אוטומט,סוזוקי,סוויפט,GLX,2012,בנזין,1.2,"30,700",4X2,מיני,האצ'בק,משולב,לא,1,צפון,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 16:02:29,40-60,זכר,7,פרטי,אוטומט,קיה,סורנטו,EX,2015,בנזין,2.4,"72,900",4X2,ג'יפ,פנאי שטח,משולב,לא,5,צפון,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:04:15,28-40,נקבה,4,פרטי,אוטומט,יונדאי,ולוסטר,Inspire,2014,בנזין,1.6,"47,400",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 16:05:46,40-60,נקבה,5,פרטי,אוטומט,רנו,פלואנס,Comfort,2013,דיזל,1.5,"21,000",4X2,משפחתי,סדאן,בין-עירוני,לא,2,צפון,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 16:07:13,17-27,זכר,5,פרטי,אוטומט,סיאט,לאון,FR Plus,2018,בנזין,1.8,"128,300",4X2,ספורט,האצ'בק,עירוני,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 16:11:02,28-40,זכר,5,מסחרי,ידני,סיטרואן,ברלינגו דור 2,Comfort,2017,דיזל,1.6,"45,500",4X2,מסחרי,קומבי,בין-עירוני,העברת ציוד,2,"חדרה, זכרון העמקים",בין 3-5,אחר,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 16:13:24,40-60,נקבה,5,פרטי,אוטומט,מאזדה,2,Active,2010,בנזין,1.5,"20,500",4X2,מיני,האצ'בק,עירוני,,2,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, גודל(קטן)"
04/05/2022 16:14:54,28-40,זכר,5,פרטי,אוטומט,יונדאי,i35,Supreme,2013,בנזין,1.6,"44,500",4X2,משפחתי,סדאן,בין-עירוני,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, גודל(גדול)"
04/05/2022 16:17:00,17-27,נקבה,4,פרטי,ידני,פיאט,500,My Pop,2015,בנזין,1.2,"22,000",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"אמינות, גודל(קטן)"
04/05/2022 16:18:37,40-60,זכר,7,פרטי,אוטומט,מאזדה,5,Executive,2009,בנזין,2,"28,900",4X2,מיניוואן,האצ'בק,עירוני,לא,5,מחוז ירושלים,בין 3-5,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:20:04,17-27,זכר,4,פרטי,אוטומט,פיג'ו,RCZ,Premium,2013,בנזין,1.6,"67,800",4X2,ספורט,קופה,משולב,לא,אין,מחוז ירושלים,בין 3-5,שידרוג רכב,כן,אמינות
04/05/2022 16:22:19,40-60,זכר,5,מסחרי,ידני,רנו,קנגו החדשה,Authentic,2018,דיזל,1.5,"53,200",4X2,מסחרי,קומבי,משולב,הסעת נוסעים,2,שפלה ומישור החוף הדרומי,בין 3-5,אחר,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 16:23:58,40-60,זכר,7,מסחרי,ידני,פולקסווגן,טרנספורטר מסחרי/נוסעים,Kombi,2015,דיזל,2,"51,000",4X2,מסחרי,קומבי,משולב,הסעת נוסעים,2,צפון,בין 3-5,אחר,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 16:26:18,40-60,זכר,5,מסחרי,ידני,דאצ'יה,דוקר,Ambiance,2018,דיזל,1.5,"46,600",4X2,מסחרי,קומבי,משולב,העברת ציוד,3,צפון,בין 3-5,אחר,כן,"אמינות, גודל(גדול)"
04/05/2022 16:28:14,40-60,נקבה,5,פרטי,אוטומט,קיה,ספורטז',Urban,2018,בנזין,1.6,"92,800",4X2,ג'יפ,פנאי שטח,משולב,לא,3,צפון,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:29:39,60+,זכר,5,פרטי,אוטומט,טויוטה,RAV4 ארוך,GLI,2014,בנזין,2,"62,000",4X4,ג'יפ,פנאי שטח,משולב,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:31:02,40-60,זכר,5,פרטי,אוטומט,יונדאי,איוניק,Supreme,2017,בנזין,1.6,"80,800",4X2,משפחתי,האצ'בק,בין-עירוני,לא,3,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,אמינות
04/05/2022 16:32:47,40-60,נקבה,5,פרטי,אוטומט,יונדאי,iX35,Open Sky,2015,בנזין,2,"68,000",4X2,ג'יפ,פנאי שטח,משולב,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:34:31,40-60,זכר,8,פרטי,אוטומט,שברולט,טראוורס,LT,2015,בנזין,3.6,"86,500",4X4,ג'יפ,פנאי שטח,משולב,לא,6,דרום,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, גודל(גדול)"
04/05/2022 16:35:59,40-60,נקבה,5,פרטי,אוטומט,טויוטה,קורולה,Sun,2015,בנזין,1.6,"56,500",4X2,משפחתי,סדאן,בין-עירוני,לא,2,מרכז,מעל 5 שנים,שידרוג רכב,כן,אמינות
04/05/2022 16:37:57,40-60,זכר,4,פרטי,אוטומט,ב.מ.וו,סדרה 2,220I Business,2016,בנזין,2016,"97,000",4X2,מנהלים,קבריולט,משולב,לא,1,מחוז ירושלים,מעל 5 שנים,שידרוג רכב,כן,שירות
04/05/2022 16:39:27,40-60,נקבה,5,פרטי,אוטומט,לקסוס,IS300h,Executive,2016,בנזין,2.5,"111,000",4X2,מנהלים,סדאן,עירוני,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, גודל(גדול)"
04/05/2022 16:41:06,28-40,זכר,5,פרטי,אוטומט,פולקסווגן,שירוקו,Sport,2009,בנזין,2,"51,000",4X2,ספורט,האצ'בק,משולב,לא,1,מרכז,בין 3-5,שידרוג רכב,כן,"אמינות, בטיחות"
04/05/2022 16:42:42,28-40,זכר,4,פרטי,אוטומט,אאודי,TT,קופה,2013,בנזין,1.8,"108,600",4X2,ספורט,קופה,משולב,לא,1,שפלה ומישור החוף הדרומי,מעל 5 שנים,אחר,כן,"שירות, אמינות, בטיחות"
04/05/2022 16:44:16,28-40,נקבה,5,פרטי,אוטומט,ניסאן,קשקאי,Tekna,2019,בנזין,1.3,"107,900",4X2,ג'יפ,פנאי שטח,עירוני,,3,מרכז,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:45:57,40-60,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Ambition,2017,בנזין,1.4,"71,700",4X2,משפחתי,סדאן,משולב,לא,2,צפון,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:48:01,40-60,נקבה,5,פרטי,אוטומט,טויוטה,C-HR,Lounge,2019,בנזין,1.8,"122,000",4X2,קרוסאובר,פנאי שטח,עירוני,לא,3,צפון,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 16:49:23,40-60,נקבה,5,פרטי,אוטומט,יונדאי,i35,Inspire,2014,בנזין,1.6,"42,000",4X2,משפחתי,סדאן,עירוני,לא,1,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, גודל(גדול)"
04/05/2022 16:50:54,28-40,זכר,5,פרטי,אוטומט,מאזדה,3,Active,2012,בנזין,1.6,"25,800",4X2,משפחתי,סדאן,עירוני,לא,1,שפלה ומישור החוף הדרומי,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 16:52:35,40-60,נקבה,7,פרטי,אוטומט,מיצובישי,אאוטלנדר,Intense ,2017,בנזין,2,"84,600",4X2,ג'יפ,פנאי שטח,משולב,לא,4,מחוז ירושלים,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 16:54:28,28-40,זכר,5,פרטי,אוטומט,סקודה,אוקטביה,Ambition,2014,בנזין,1.2,"41,200",4X2,משפחתי,סדאן,עירוני,לא,2,שפלה ומישור החוף הדרומי,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 16:56:21,28-40,נקבה,5,פרטי,אוטומט,יונדאי,i35,Inspire SR,2015,בנזין,1.6,"49,000",4X2,משפחתי,סדאן,משולב,לא,2,צפון,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות"
04/05/2022 16:57:38,28-40,נקבה,5,פרטי,אוטומט,יונדאי,i25,Premium,2017,בנזין,1.6,"62,200",4X2,משפחתי,סדאן,משולב,לא,2,שרון,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 16:59:27,28-40,נקבה,5,פרטי,אוטומט,סיאט,איביזה,Style,2015,בנזין,1,"44,300",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,אחר,כן,אמינות
04/05/2022 17:00:40,28-40,זכר,5,פרטי,,הונדה,סיוויק האצ'בק החדשה ,Comfort,2017,בנזין,1,"69,400",4X2,משפחתי,האצ'בק,משולב,לא,2,שפלה ומישור החוף הדרומי,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 17:02:12,40-60,זכר,4,פרטי,אוטומט,מרצדס,E-Class קופה / קבריולט,E350 Avantgarde,2010,בנזין,3.5,"94,900",4X2,ספורט,קופה,עירוני,לא,2,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות"
04/05/2022 17:03:47,17-27,זכר,4,פרטי,ידני,סקודה,סיטיגו ,Ambition,2013,בנזין,1,"15,600",4X2,מיני,האצ'בק,בין-עירוני,לא,אין,יהודה ושומרון ובקעת הירדן,בין 3-5,אחר,כן,"מחיר, גודל(קטן)"
04/05/2022 17:05:08,28-40,זכר,5,פרטי,אוטומט,סוזוקי,סוויפט,GLS,2015,בנזין,1.2,"27,400",4X2,מיני,האצ'בק,בין-עירוני,לא,1,צפון,בין 3-5,מצב כלכלי,כן,"שירות, מחיר, גודל(קטן)"
04/05/2022 17:06:34,40-60,זכר,5,פרטי,אוטומט,יונדאי,טוסון,Open Sky,2017,בנזין,2,"102,700",4X2,קרוסאובר,פנאי שטח,משולב,לא,2,צפון,מעל 5 שנים,הרחבת המשפחה,כן,"אמינות, בטיחות, גודל(גדול)"
04/05/2022 17:08:05,40-60,זכר,5,פרטי,אוטומט,סקודה,סופרב,Elegance,2014,בנזין,2,"55,300",4X2,מנהלים,סדאן,בין-עירוני,לא,3,דרום,מעל 5 שנים,שידרוג רכב,כן,אמינות
04/05/2022 17:09:20,28-40,נקבה,5,פרטי,אוטומט,יונדאי,i10,Supreme,2016,בנזין,1.2,"46,800",4X2,מיני,האצ'בק,עירוני,לא,1,שפלה ומישור החוף הדרומי,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,גודל(קטן)
04/05/2022 17:10:52,40-60,זכר,5,מסחרי,ידני,סיטרואן,ברלינגו,Comfort,2018,דיזל,1.6,"56,000",4X2,מסחרי,קומבי,משולב,העברת ציוד,2,שרון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, גודל(גדול)"